Name,Address,Phone,Email,Invoice Number,Invoice Date,Product Name,Quantity,Unit Price,Product Total,Total Amount,Payment Due,Comments
Mirja Krein,"Kuno-Bien-Gasse 2, 10731 Waldmünchen",+49(0) 999613755,rnaser@web.de,INV-2024-001,2024-02-01,Webcam,5,100,500,975 EUR,2025-01-10,Facere rerum laborum quos dolor iste.
Mirja Krein,"Kuno-Bien-Gasse 2, 10731 Waldmünchen",+49(0) 999613755,rnaser@web.de,INV-2024-001,2024-02-01,Maus,2,25,50,975 EUR,2025-01-10,Facere rerum laborum quos dolor iste.
Mirja Krein,"Kuno-Bien-Gasse 2, 10731 Waldmünchen",+49(0) 999613755,rnaser@web.de,INV-2024-001,2024-02-01,Maus,1,25,25,975 EUR,2025-01-10,Facere rerum laborum quos dolor iste.
Mirja Krein,"Kuno-Bien-Gasse 2, 10731 Waldmünchen",+49(0) 999613755,rnaser@web.de,INV-2024-001,2024-02-01,Monitor,2,200,400,975 EUR,2025-01-10,Facere rerum laborum quos dolor iste.
Ing. Michaele Steckel B.A.,"Mareike-Weitzel-Allee 3/7, 81793 Uelzen",(07981) 56392,ybolzmann@web.de,INV-2024-002,2024-09-07,Tastatur,5,50,250,2100 EUR,2025-01-24,Sed beatae aut nulla.
Ing. Michaele Steckel B.A.,"Mareike-Weitzel-Allee 3/7, 81793 Uelzen",(07981) 56392,ybolzmann@web.de,INV-2024-002,2024-09-07,Maus,2,25,50,2100 EUR,2025-01-24,Sed beatae aut nulla.
Ing. Michaele Steckel B.A.,"Mareike-Weitzel-Allee 3/7, 81793 Uelzen",(07981) 56392,ybolzmann@web.de,INV-2024-002,2024-09-07,Drucker,4,300,1200,2100 EUR,2025-01-24,Sed beatae aut nulla.
Ing. Michaele Steckel B.A.,"Mareike-Weitzel-Allee 3/7, 81793 Uelzen",(07981) 56392,ybolzmann@web.de,INV-2024-002,2024-09-07,Dockingstation,4,150,600,2100 EUR,2025-01-24,Sed beatae aut nulla.
Tibor Jüttner,"Gülay-Gnatz-Weg 6, 23034 Schwandorf",+49(0) 928748111,kklemt@googlemail.com,INV-2024-003,2024-10-24,Headset,2,80,160,160 EUR,2025-01-07,Quas iusto expedita temporibus.
Niklas Steinberg,"Gertzallee 1/2, 38101 Haldensleben",03258 24139,fechnersofia@googlemail.com,INV-2024-004,2024-04-25,Drucker,4,300,1200,1625 EUR,2025-01-26,Aliquid accusantium itaque quas.
